WIID,Description,Type,Status,Date
69139284,Verify Account Position,WI1,Open,2021-02-09
69139295,Verify Account Position,WI1,Open,2019-10-29
69139242,Research Client Check Copy,WI2,Open,2021-01-14
69139288,Verify Account Position,WI1,Open,2019-07-16
69139184,Calculate Client Security Hash,WI5,Open,2020-03-31
69139200,Generate Yearly Report for Vendor,WI4,Open,2020-08-16
69139282,Verify Account Position,WI1,Open,2017-08-01
69139202,Generate Yearly Report for Vendor,WI4,Open,2020-05-31
69139234,Research Client Check Copy,WI2,Open,2019-01-16
69139291,Verify Account Position,WI1,Open,2021-05-23
69139222,Process Vendor Invoice,WI3,Open,2018-09-14
69139243,Research Client Check Copy,WI2,Open,2019-12-28
69139224,Research Client Check Copy,WI2,Open,2021-05-12
69139180,Calculate Client Security Hash,WI5,Open,2019-03-17
69139244,Research Client Check Copy,WI2,Open,2020-02-23
69139190,Calculate Client Security Hash,WI5,Open,2020-10-25
69139298,Verify Account Position,WI1,Open,2019-01-06
69139228,Research Client Check Copy,WI2,Open,2020-04-18
69139232,Research Client Check Copy,WI2,Open,2020-06-03
69139197,Generate Yearly Report for Vendor,WI4,Open,2017-12-21
69139195,Generate Yearly Report for Vendor,WI4,Open,2019-06-12
69139287,Verify Account Position,WI1,Open,2017-02-12
69139219,Process Vendor Invoice,WI3,Open,2020-10-19
69139207,Generate Yearly Report for Vendor,WI4,Open,2019-08-02
69139254,Research Client Check Copy,WI2,Open,2018-04-26
69139277,Verify Account Position,WI1,Open,2020-06-13
69139236,Research Client Check Copy,WI2,Open,2021-02-28
69139292,Verify Account Position,WI1,Open,2017-08-25
69139278,Verify Account Position,WI1,Open,2019-10-29
69139247,Research Client Check Copy,WI2,Open,2018-02-06
69139188,Calculate Client Security Hash,WI5,Open,2021-04-07
69139272,Verify Account Position,WI1,Open,2020-10-25
69139230,Research Client Check Copy,WI2,Open,2017-06-04
69139237,Research Client Check Copy,WI2,Open,2021-02-21
69139274,Verify Account Position,WI1,Open,2021-02-24
69139297,Verify Account Position,WI1,Open,2018-08-16
69139299,Verify Account Position,WI1,Open,2019-08-20
69139239,Research Client Check Copy,WI2,Open,2019-10-31
69139283,Verify Account Position,WI1,Open,2020-11-24
69139201,Generate Yearly Report for Vendor,WI4,Open,2019-09-07
69139266,Verify Account Position,WI1,Open,2018-04-12
69139192,Calculate Client Security Hash,WI5,Open,2019-12-05
69139208,Generate Yearly Report for Vendor,WI4,Open,2019-03-10
69139245,Research Client Check Copy,WI2,Open,2017-05-23
69139182,Calculate Client Security Hash,WI5,Open,2019-09-13
69139189,Calculate Client Security Hash,WI5,Open,2020-12-25
69139217,Process Vendor Invoice,WI3,Open,2017-08-17
69139183,Calculate Client Security Hash,WI5,Open,2018-11-25
69139258,Research Client Check Copy,WI2,Open,2020-01-11
69139275,Verify Account Position,WI1,Open,2021-03-16
69139196,Generate Yearly Report for Vendor,WI4,Open,2020-06-07
69139255,Research Client Check Copy,WI2,Open,2020-07-31
69139193,Calculate Client Security Hash,WI5,Open,2021-03-26
69139205,Generate Yearly Report for Vendor,WI4,Open,2019-06-25
69139285,Verify Account Position,WI1,Open,2018-02-27
69139204,Generate Yearly Report for Vendor,WI4,Open,2019-09-07
69139240,Research Client Check Copy,WI2,Open,2018-07-29
69139250,Research Client Check Copy,WI2,Open,2017-06-23
69139235,Research Client Check Copy,WI2,Open,2017-05-13
69139194,Calculate Client Security Hash,WI5,Open,2019-05-14
69139286,Verify Account Position,WI1,Open,2019-03-13
69139215,Process Vendor Invoice,WI3,Open,2018-09-20
69139267,Verify Account Position,WI1,Open,2020-08-13
69139253,Research Client Check Copy,WI2,Open,2020-06-14
